route_id,origin,destination,origin_name,destination_name,passenger_traffic,traffic_share
DEL-BOM,DEL,BOM,Delhi,Mumbai,,0.14
BOM-DEL,BOM,DEL,Mumbai,Delhi,,0.14
DEL-BLR,DEL,BLR,Delhi,Bengaluru,,0.10
BLR-DEL,BLR,DEL,Bengaluru,Delhi,,0.10
BOM-BLR,BOM,BLR,Mumbai,Bengaluru,,0.08
BLR-BOM,BLR,BOM,Bengaluru,Mumbai,,0.08
DEL-HYD,DEL,HYD,Delhi,Hyderabad,,0.06
HYD-DEL,HYD,DEL,Hyderabad,Delhi,,0.06
BOM-HYD,BOM,HYD,Mumbai,Hyderabad,,0.05
HYD-BOM,HYD,BOM,Hyderabad,Mumbai,,0.05
DEL-MAA,DEL,MAA,Delhi,Chennai,,0.04
MAA-DEL,MAA,DEL,Chennai,Delhi,,0.04
BOM-CCU,BOM,CCU,Mumbai,Kolkata,,0.03
CCU-BOM,CCU,BOM,Kolkata,Mumbai,,0.03
DEL-CCU,DEL,CCU,Delhi,Kolkata,,0.03
CCU-DEL,CCU,DEL,Kolkata,Delhi,,0.03
BOM-GOI,BOM,GOI,Mumbai,Goa,,0.02
GOI-BOM,GOI,BOM,Goa,Mumbai,,0.02
DEL-GOI,DEL,GOI,Delhi,Goa,,0.02
GOI-DEL,GOI,DEL,Goa,Delhi,,0.02
